Designation,EmpID,Division_ID,Tenure_in_org_in_months,Gross_Pay,Net_Pay,Deduction,Deduction_percentage
Manager..Software Development Engineer in Test,8693,39,85,272643,156031,116612,42.77
Manager..Software Development Engineer in Test,20099,82,26,296629,170807,125822,42.42
Manager..Software Development Engineer in Test,5909,76,115,332102,254269,77833,23.44
Manager..Solutions Engineering,5194,95,35,346144,216340,129804,37.5
Manager..System Operations,17716,105,39,261918,163801,98117,37.46
Manager..System Operations,3272,42,162,313899,179732,134167,42.74
Manager..Systems Engineering,6558,63,104,229981,147152,82829,36.02
Manager..Technical Support,20543,11,23,268375,202519,65856,24.54
Manager..Technical Support,21379,11,18,257675,197133,60542,23.5
Manager..Technical Support,20544,11,23,216529,85465,131064,60.53
Manager..Technical Support,4607,11,139,270000,161478,108522,40.19
Manager..Technical Support,5048,11,127,262776,190622,72154,27.46
Manager..Technical Support,5322,11,122,335839,204586,131253,39.08
Manager..Technical Support,10538,11,73,265483,174604,90879,34.23
Manager..Technical Support,4388,11,144,363462,211558,151904,41.79
Manager..Technical Support,16142,11,49,212460,164265,48195,22.68
Manager..Technical Support,4158,11,148,254925,198128,56797,22.28
Manager..Technical Support,5134,11,125,373194,246229,126965,34.02
Manager..Technical Support,18265,11,37,236908,176675,60233,25.42
Manager..Training,17769,41,39,221908,168868,53040,23.9
Manager..Travel and Vendor Management,2809,58,190,202191,150163,52028,25.73
Manager.Senior.Account Management,8432,15,86,243478,154136,89342,36.69
Manager.Senior.Account Management,3976,15,153,279717,160338,119379,42.68
Manager.Senior.Account Management,4212,16,147,285580,190363,95217,33.34
Manager.Senior.Business Applications,7416,43,95,316053,205084,110969,35.11
Manager.Senior.Business Operations,2930,57,177,332122,237209,94913,28.58
Manager.Senior.Compensation and Benefits,7260,72,96,465851,102285,363566,78.04
Manager.Senior.Digital Properties,9293,86,80,348884,255312,93572,26.82
Manager.Senior.ECG,6238,140,108,312856,228439,84417,26.98
Manager.Senior.ECG,4039,140,86,895496,587612,307884,34.38
Manager.Senior.Engineering,14723,49,59,456840,311371,145469,31.84
Manager.Senior.Engineering,4069,122,150,454997,251491,203506,44.73
Manager.Senior.Engineering,11945,104,65,480371,237408,242963,50.58
Manager.Senior.Engineering,16628,34,46,400970,204436,196534,49.01
Manager.Senior.Engineering,7772,34,92,462384,325137,137247,29.68
Manager.Senior.Engineering,22804,63,8,445267,304367,140900,31.64
Manager.Senior.Engineering,4961,117,130,480000,339209,140791,29.33
Manager.Senior.Engineering,2824,93,190,494391,249024,245367,49.63
Manager.Senior.Engineering,4270,43,146,412864,223347,189517,45.9
Manager.Senior.Engineering,4463,4,40,417718,227169,190549,45.62
Manager.Senior.Engineering,8823,43,84,371471,242874,128597,34.62
Manager.Senior.Engineering,18221,151,37,444751,305193,139558,31.38
Manager.Senior.Engineering,5571,43,120,361763,254289,107474,29.71
Manager.Senior.Engineering,4842,102,133,476046,204208,271838,57.1
Manager.Senior.Engineering,5803,43,117,363386,239556,123830,34.08
Manager.Senior.Facilities Operations,18975,59,34,333490,234720,98770,29.62
Manager.Senior.Financial Operations,22785,52,8,252348,212151,40197,15.93
Manager.Senior.Financial Operations,4032,52,151,269344,195450,73894,27.43
Manager.Senior.Financial Operations,4941,52,130,226697,155171,71526,31.55
Manager.Senior.IT Help Desk Services,22010,46,13,279207,183450,95757,34.3
Manager.Senior.Learning & Development,14428,74,61,364113,210096,154017,42.3
Manager.Senior.Learning Solutions,21565,78,16,298103,212951,85152,28.56
Manager.Senior.Marketing,7794,143,31,351403,246925,104478,29.73
Manager.Senior.Network Delivery Architect,4403,111,144,330280,242307,87973,26.64
Manager.Senior.Network Service Management,3361,109,164,400372,276142,124230,31.03
Manager.Senior.Performance Engineering,3273,120,167,499278,233017,266261,53.33
Manager.Senior.Platform Operations,2823,61,190,377442,206905,170537,45.18
Manager.Senior.Product Operations,15003,77,57,354904,205971,148933,41.96
Manager.Senior.Product Operations,7529,77,94,321718,158293,163425,50.8
Manager.Senior.Q/A Engineering,4773,76,131,360394,258376,102018,28.31
Manager.Senior.Q/A Engineering,7696,76,93,355671,299538,56133,15.78
Manager.Senior.Recruiting,18544,133,36,321993,179721,142272,44.18
Manager.Senior.Sales Operations,4991,148,129,261848,169118,92730,35.41
Manager.Senior.Sales Operations,7024,98,98,319849,222368,97481,30.48
Manager.Senior.Service Line,14394,23,61,362186,251266,110920,30.63
Manager.Senior.Service Line,4680,27,136,344397,242602,101795,29.56
Manager.Senior.Software Development Engineer in Test,18668,93,35,408674,202960,205714,50.34
Manager.Senior.Software Development Engineer in Test,10007,101,76,370368,215202,155166,41.9
Manager.Senior.Software Development Engineer in Test,17902,104,38,341364,193074,148290,43.44
Manager.Senior.Solutions Engineering,7220,144,96,362033,210456,151577,41.87
Manager.Senior.Systems Administration,17136,46,42,369758,261185,108573,29.36
Manager.Senior.Systems Support,5784,76,117,339332,145298,194034,57.18
Manager.Senior.Talent Sourcing and Research,4646,133,120,337517,190626,146891,43.52
Manager.Senior.Technical Enablement,18976,136,34,495905,319649,176256,35.54
Manager.Senior.Technical Support,4748,11,135,383403,273468,109935,28.67
Manager.Senior.Technical Support,3434,11,160,341201,166345,174856,51.25
Manager.Senior.Technical Support,6549,11,104,499907,271033,228874,45.78
Manager.Senior.Technical Support,12151,11,63,477168,282086,195082,40.88
Marketing Automation Specialist.Senior.,5676,84,105,102970,89227,13743,13.35
Marketing Automation Specialist.Senior.,10972,84,70,136232,111731,24501,17.98
Marketing Manager.Senior.,7195,94,31,296308,167577,128731,43.44
Marketing Program Manager..,7857,30,91,199835,151168,48667,24.35
Marketing Program Specialist..,10888,29,37,105609,80703,24906,23.58
Marketing Program Specialist..,9470,94,70,105661,72321,33340,31.55
Marketing Program Specialist.Senior.,20916,143,10,163222,136475,26747,16.39
Marketing Program Specialist.Senior.,5690,139,118,143604,98971,44633,31.08
Media Operations Engineer II..,18809,5,34,142846,122166,20680,14.48
Media Operations Engineer..,20604,6,23,88602,79965,8637,9.75
Media Operations Engineer..,20031,6,27,122712,104517,18195,14.83
Media Operations Engineer..,20573,6,23,100399,88950,11449,11.4
Media Operations Engineer..,20790,6,22,119193,85793,33400,28.02
Media Operations Engineer..,18640,5,35,87090,74587,12503,14.36
Media Operations Engineer..,20887,6,21,114993,96581,18412,16.01
Media Operations Engineer..,20638,6,23,115117,102323,12794,11.11
Media Operations Engineer..,20817,6,22,149697,122333,27364,18.28
Media Operations Engineer..,20814,6,22,99846,83647,16199,16.22
Media Operations Engineer..,20383,6,24,102843,85770,17073,16.6
Media Operations Engineer..,18654,5,35,96376,84520,11856,12.3
Media Operations Engineer..,20636,6,23,110000,83870,26130,23.75
Media Operations Engineer.Associate.,20650,6,23,107528,91486,16042,14.92
Media Operations Engineer.Associate.,22637,6,9,85988,80178,5810,6.76
Media Operations Engineer.Associate.,20452,6,24,67875,61425,6450,9.5
Media Operations Engineer.Associate.,20815,6,22,73679,66826,6853,9.3
Media Operations Engineer.Associate.,20693,6,22,102213,84763,17450,17.07
Media Operations Engineer.Associate.,23049,7,6,44375,41881,2494,5.62
Media Operations Engineer.Associate.,22145,6,12,83615,66069,17546,20.98
Media Operations Engineer.Associate.,21768,6,14,84566,74134,10432,12.34
Media Operations Engineer.Associate.,20690,6,22,91317,78741,12576,13.77
Media Operations Engineer.Associate.,20832,6,21,78613,69288,9325,11.86
Media Operations Engineer.Associate.,23032,7,6,60723,57179,3544,5.84
Media Operations Engineer.Associate.,20686,6,22,98679,84416,14263,14.45
Media Operations Engineer.Associate.,23053,7,6,44375,41819,2556,5.76
Media Operations Engineer.Associate.,23036,7,6,60723,56966,3757,6.19
Media Operations Engineer.Associate.,23033,7,6,60723,57216,3507,5.78
Media Operations Engineer.Senior.,16456,6,47,196790,145809,50981,25.91
Network Account Manager..,22219,109,11,222167,118203,103964,46.8
Network Administrator II..,23062,46,6,71395,67727,3668,5.14
Network Administrator II..,22551,46,9,114591,90503,24088,21.02
Network Administrator..,22956,46,6,242948,236250,6698,2.76
Network Administrator..,21647,46,15,94555,79797,14758,15.61
Network Administrator..,22708,46,8,77795,70953,6842,8.79
Network Delivery Architect II..,14036,111,62,159893,122883,37010,23.15
Network Delivery Architect II..,16591,111,46,184360,127873,56487,30.64
Network Delivery Architect II..,4909,111,131,178881,111797,67084,37.5
Network Delivery Architect.Senior.,7583,111,94,197793,150492,47301,23.91
Network Design Engineer II..,8784,112,84,146418,96723,49695,33.94
Network Design Engineer..,11469,112,68,133350,109277,24073,18.05
Network Engagement Consultant II..,14531,109,60,111078,91333,19745,17.78
Network Engagement Consultant..,22032,110,12,76367,67430,8937,11.7
Network Engagement Consultant..,19044,110,33,71371,65741,5630,7.89
Network Engagement Consultant..,21851,110,13,76367,66594,9773,12.8
Network Engagement Consultant..,21980,110,13,79367,73046,6321,7.96
Network Engagement Consultant..,19086,109,33,81323,72189,9134,11.23
Network Engagement Consultant..,19485,109,32,78797,69042,9755,12.38
Network Engineer II..,19860,114,29,164276,108105,56171,34.19
Network Engineer..,19435,46,32,136342,111772,24570,18.02
Network Engineer..,14917,114,58,132039,70687,61352,46.47
Network Engineer..,8585,46,58,151258,114336,36922,24.41
Network Engineer.Senior Lead.,4202,114,147,222111,121763,100348,45.18
Network Engineer.Senior Lead.,4512,114,141,235743,154732,81011,34.36
Network Engineer.Senior.,11997,114,53,221828,109774,112054,50.51
Network Implementation Manager Ii..,9827,109,77,112556,80972,31584,28.06
Network Implementation Manager II.Lead.,14344,109,61,139103,118632,20471,14.72
Network Implementation Manager..,20734,109,22,114075,73512,40563,35.56
Network Implementation Manager..,20491,109,24,86903,77925,8978,10.33
Network Implementation Manager..,21177,109,14,104185,93549,10636,10.21
Network Implementation Manager..,18886,110,34,98433,88108,10325,10.49
Network Implementation Manager..,18882,110,34,98433,84540,13893,14.11
Network Implementation Manager..,16289,109,48,85895,68996,16899,19.67
Network Infrastructure Engineer II..,16437,109,48,155091,127739,27352,17.64
Network Infrastructure Engineer II..,11026,110,70,147997,113186,34811,23.52
Network Infrastructure Engineer II..,8322,110,87,142024,113974,28050,19.75
Network Infrastructure Engineer II..,15293,110,56,155594,106515,49079,31.54
Network Infrastructure Engineer..,11876,110,59,96071,80953,15118,15.74
Network Infrastructure Engineer..,18321,109,37,112974,95817,17157,15.19
Network Infrastructure Engineer..,16330,110,48,96200,75713,20487,21.3
Network Infrastructure Engineer..,16361,109,15,111100,88079,23021,20.72
Network Infrastructure Engineer..,22308,110,11,93250,81960,11290,12.11
Network Infrastructure Engineer..,16340,110,48,85115,75568,9547,11.22
Network Infrastructure Engineer..,22115,109,12,97613,84966,12647,12.96
Network Infrastructure Engineer..,16338,110,48,85045,72443,12602,14.82
Network Infrastructure Engineer..,16140,109,49,109711,83352,26359,24.03
Network Infrastructure Engineer..,16400,109,48,93517,77920,15597,16.68
Network Infrastructure Engineer..,19017,109,33,104615,92844,11771,11.25
Network Infrastructure Engineer..,22218,110,11,90250,84900,5350,5.93
Network Infrastructure Engineer..,19157,109,33,84693,78245,6448,7.61
Network Infrastructure Engineer..,16335,110,48,93250,81242,12008,12.88
Network Infrastructure Engineer..,22362,109,10,97613,91043,6570,6.73
Network Infrastructure Engineer..,16328,109,48,99354,91743,7611,7.66
Network Infrastructure Engineer.Senior Lead.,6596,110,103,190359,150516,39843,20.93
Network Support Consultant..,16049,109,49,147990,105074,42916,29
Office Manager..,8881,59,80,106725,90046,16679,15.63
Order Analyst II..,19359,52,32,79301,68986,10315,13.01
Order Analyst II..,12022,52,64,89757,76066,13691,15.25
Order Analyst II..,19488,52,32,80805,70903,9902,12.25
Order Analyst II..,19008,52,34,85755,74051,11704,13.65
Order Analyst II..,10703,52,50,77612,69026,8586,11.06
Order Analyst II..,14254,52,61,87351,78442,8909,10.2
Order Analyst II..,14681,52,59,86779,74577,12202,14.06
Order Analyst..,19790,52,29,114641,114441,200,0.17
Order Analyst..,19702,52,30,52045,26845,25200,48.42
Order Analyst..,20148,52,26,87122,77333,9789,11.24
Order Analyst.Senior Lead.,7642,52,93,119158,87972,31186,26.17
Order Analyst.Senior Lead.,7266,52,96,111504,90637,20867,18.71
Order Analyst.Senior Lead.,7643,52,93,122480,85750,36730,29.99
Order Analyst.Senior.,12058,52,64,112973,98881,14092,12.47
Order Analyst.Senior.,14255,52,61,103009,71759,31250,30.34
Order Analyst.Senior.,10707,52,72,115594,80514,35080,30.35
Order Analyst.Senior.,10705,52,72,111947,78111,33836,30.23
Order Analyst.Senior.,14686,52,59,111208,97072,14136,12.71
Order Analyst.Senior.,10708,52,72,108067,93662,14405,13.33
Order Management Supervisor..,7235,52,96,160832,141744,19088,11.87
Partner Enablement Manager.Senior.,8792,118,84,131898,116827,15071,11.43
Partner Enablement Manager.Senior.,9092,17,82,244879,170719,74160,30.28
Partner Services Manager..,19627,15,31,96309,84380,11929,12.39
Partner Services Manager.Senior.,4761,15,134,134208,93766,40442,30.13
Partner Services Manager.Senior.,15482,15,54,141472,115151,26321,18.61
Partner Services Manager.Senior.,10438,15,64,116839,88144,28695,24.56
Payroll Analyst..,19740,50,30,79168,71525,7643,9.65
Payroll Analyst.Senior.,8197,50,88,110761,88645,22116,19.97
Performance Engineer II..,7711,120,92,178533,106632,71901,40.27
Performance Engineer II..,9147,120,81,152149,119674,32475,21.34
Performance Engineer II..,10650,120,72,135984,111452,24532,18.04
Performance Engineer..,21359,120,12,84300,62861,21439,25.43
Performance Engineer.Senior II Lead.,4772,120,134,214853,111695,103158,48.01
Performance Engineer.Senior II Lead.,4127,120,149,105189,20054,85135,80.94
Performance Engineer.Senior II.,16587,120,46,286920,144319,142601,49.7
Performance Engineer.Senior II.,15859,134,50,335149,170166,164983,49.23
Performance Engineer.Senior II.,6276,120,108,244157,146573,97584,39.97
Performance Engineer.Senior II.,2830,134,190,290207,139590,150617,51.9
Performance Engineer.Senior.,8516,120,86,150889,98775,52114,34.54
Performance Engineer.Senior.,14371,134,61,197290,145619,51671,26.19
Platform Operations Engineer II..,12386,118,50,138272,115606,22666,16.39
Platform Operations Engineer II..,14774,119,57,198587,135401,63186,31.82
Platform Operations Engineer II..,16318,118,48,122200,105851,16349,13.38
Platform Operations Engineer II..,15299,118,56,110088,107543,2545,2.31
Platform Operations Engineer II..,11232,118,50,134925,118216,16709,12.38
Platform Operations Engineer II..,15369,118,55,133337,103744,29593,22.19
Platform Operations Engineer II..,10934,118,59,141061,106458,34603,24.53
Platform Operations Engineer II..,15818,118,50,185693,119114,66579,35.85
Platform Operations Engineer II..,15856,118,50,113309,94470,18839,16.63
Platform Operations Engineer II..,12418,118,59,127834,109312,18522,14.49
Platform Operations Engineer II..,3753,118,154,163092,102803,60289,36.97
Platform Operations Engineer II..,15386,119,35,194091,131494,62597,32.25
Platform Operations Engineer II..,16332,119,48,184068,136146,47922,26.03
Platform Operations Engineer II.Lead.,12100,118,64,157394,120915,36479,23.18
Platform Operations Engineer II.Lead.,9857,119,71,190127,148974,41153,21.65
Platform Operations Engineer II.Lead.,17085,118,42,142941,96064,46877,32.79
Platform Operations Engineer..,22247,118,11,112454,95093,17361,15.44
Platform Operations Engineer..,22187,118,12,97067,88797,8270,8.52
Platform Operations Engineer..,21814,118,14,106272,88261,18011,16.95
Platform Operations Engineer..,22792,118,8,101334,94324,7010,6.92
Platform Operations Engineer..,14776,118,41,92904,88013,4891,5.26
Platform Operations Engineer..,22808,118,8,97094,90171,6923,7.13
Platform Operations Engineer..,22178,118,12,109466,96638,12828,11.72
Platform Operations Engineer..,16352,118,48,93071,61431,31640,34
Platform Operations Engineer..,22907,118,7,88267,82717,5550,6.29
Platform Operations Engineer..,22614,118,9,114349,108539,5810,5.08
Platform Operations Engineer..,17241,118,33,99771,90035,9736,9.76
Platform Operations Engineer..,16861,118,27,112235,96393,15842,14.12
Platform Operations Engineer..,22793,118,8,95094,88199,6895,7.25
Platform Operations Engineer..,22278,118,11,114971,93247,21724,18.9
Platform Operations Engineer..,21583,118,15,105254,88431,16823,15.98
Platform Operations Engineer..,16779,118,21,129886,113287,16599,12.78
Platform Operations Engineer..,14726,118,59,125930,96887,29043,23.06
Platform Operations Engineer..,21809,118,14,99472,87371,12101,12.17
Platform Operations Engineer.Associate.,22030,118,12,85642,70863,14779,17.26
Platform Operations Engineer.Associate.,18378,118,11,84566,78703,5863,6.93
Platform Operations Engineer.Associate.,16787,118,9,93980,89617,4363,4.64
Platform Operations Engineer.Associate.,20054,118,15,86148,80330,5818,6.75
Platform Operations Engineer.Associate.,21115,118,6,44375,41431,2944,6.63
Platform Operations Engineer.Associate.,22681,118,9,77332,57160,20172,26.08
Platform Operations Engineer.Associate.,20196,118,12,256,256,0,0
Platform Operations Engineer.Associate.,22651,118,6,44375,39029,5346,12.05
Platform Operations Engineer.Associate.,20058,118,6,44375,40164,4211,9.49
Platform Operations Engineer.Associate.,20852,118,6,44375,39939,4436,10
Platform Operations Engineer.Associate.,18578,118,12,105842,91099,14743,13.93
Platform Operations Engineer.Associate.,22163,118,10,103039,98736,4303,4.18
Platform Operations Engineer.Associate.,22548,118,9,85048,79985,5063,5.95
Platform Operations Engineer.Associate.,18087,118,15,104655,88191,16464,15.73
Platform Operations Engineer.Associate.,17928,118,11,101248,88868,12380,12.23
Platform Operations Engineer.Associate.,19173,118,12,94032,75769,18263,19.42
Platform Operations Engineer.Associate.,22789,118,8,80132,75494,4638,5.79
Platform Operations Engineer.Associate.,20055,118,8,82263,77705,4558,5.54
Platform Operations Engineer.Associate.,22043,118,6,44375,39976,4399,9.91
Platform Operations Engineer.Associate.,19944,118,6,44375,39971,4404,9.92
Platform Operations Engineer.Associate.,20955,118,9,106855,87083,19772,18.5
Platform Operations Engineer.Senior Lead.,4410,118,37,201104,123187,77917,38.74
Platform Operations Engineer.Senior Lead.,7447,118,95,166870,100183,66687,39.96
Platform Operations Engineer.Senior.,7860,118,79,203252,127909,75343,37.07
Platform Operations Engineer.Senior.,9860,118,71,156145,98465,57680,36.94
Platform Operations Engineer.Senior.,14215,118,62,200475,102462,98013,48.89
Platform Operations Engineer.Senior.,8381,118,74,172798,118097,54701,31.66
Platform Operations Engineer.Senior.,11933,118,65,183928,91971,91957,50
Practice Manager..,6471,68,105,286230,162553,123677,43.21
Practice Manager..,6563,68,103,240793,190373,50420,20.94
Practice Manager..,15348,26,55,350351,252120,98231,28.04
Practice Manager..,11143,26,70,326066,219719,106347,32.62
Practice Manager..,12217,68,63,273394,143696,129698,47.44
Practice Manager..,3796,68,158,314797,185621,129176,41.03
Practice Manager..,19117,68,33,264479,170723,93756,35.45
Practice Manager..,17130,68,42,255976,173659,82317,32.16
Practice Manager.Senior.,4782,68,134,300785,214291,86494,28.76
Practice Manager.Senior.,6841,68,101,296365,212362,84003,28.34
Practice Manager.Senior.,6987,65,99,258233,188536,69697,26.99
Practice Manager.Senior.,5835,26,64,422922,227394,195528,46.23
Practice Manager.Senior.,5102,68,78,374912,262845,112067,29.89
Practice Manager.Senior.,9200,68,81,338582,239662,98920,29.22
Process & Quality Engineer..,22620,118,9,72400,66720,5680,7.85
Process & Quality Engineer.Senior Lead.,4694,118,136,196891,130912,65979,33.51
Product Architect..,15094,63,57,287006,186896,100110,34.88
Product Architect..,18808,82,34,264179,195606,68573,25.96
Product Manager.Senior.,12372,77,62,340533,185036,155497,45.66
Product Manager.Senior.,23037,48,6,333194,316062,17132,5.14
Product Manager.Senior.,20701,135,22,484858,207203,277655,57.27
Product Manager.Senior.,19958,83,28,381274,216242,165032,43.28
Product Manager.Senior.,8182,123,88,382988,274736,108252,28.27
Product Marketing Manager..,6965,103,33,266268,180541,85727,32.2
Product Marketing Specialist.Associate.,12355,150,47,79799,68930,10869,13.62
Product Operations Analyst II..,10515,77,67,117331,86702,30629,26.1
Product Operations Analyst II..,11235,77,53,116460,99820,16640,14.29
Product Operations Analyst II..,8744,77,84,109816,98060,11756,10.71
Product Operations Analyst II..,18773,77,35,110619,87803,22816,20.63
Product Operations Analyst II..,17703,77,39,114942,97405,17537,15.26
Product Operations Analyst II..,17273,77,41,109312,77715,31597,28.91
Product Operations Analyst II..,11464,77,53,108966,83741,25225,23.15
Product Operations Analyst..,18627,77,35,71235,66103,5132,7.2
Product Operations Analyst..,18616,153,35,67250,63311,3939,5.86
Product Operations Analyst..,19836,77,29,61959,57697,4262,6.88
Product Operations Analyst..,20379,77,17,57287,50467,6820,11.9
Product Operations Analyst.Associate.,20791,77,22,50355,45679,4676,9.29
Product Operations Analyst.Associate.,19575,77,7,74922,71494,3428,4.58
Product Operations Analyst.Associate.,20689,77,22,50355,34721,15634,31.05
Product Operations Analyst.Associate.,20691,77,22,50355,47029,3326,6.61
Product Operations Analyst.Associate.,20805,77,22,55446,52213,3233,5.83
Product Operations Analyst.Senior.,14924,77,58,160893,108051,52842,32.84
Product Operations Analyst.Senior.,14299,153,61,170314,125631,44683,26.24
Product Operations Analyst.Senior.,20665,77,23,152834,125118,27716,18.13
Product Support Engineer..,15125,12,57,246201,165448,80753,32.8
Product Support Engineer..,16459,12,47,191881,144402,47479,24.74
Product Support Engineer..,17641,47,39,185361,139341,46020,24.83
Product Support Engineer..,10665,12,72,201525,134066,67459,33.47
Product Support Engineer..,6867,12,87,204496,160944,43552,21.3
Product Support Engineer..,6860,12,70,251712,147261,104451,41.5
Product Support Engineer..,12351,12,63,192819,128242,64577,33.49
Product Support Engineer..,10522,12,73,249442,158897,90545,36.3
Product Support Engineer.Senior Lead.,21156,47,19,310220,230594,79626,25.67
Product Support Engineer.Senior Lead.,17107,105,42,292561,172413,120148,41.07
Product Support Engineer.Senior.,8816,12,84,255217,155771,99446,38.97
Product Support Engineer.Senior.,7309,105,95,241999,148547,93452,38.62
Product Support Engineer.Senior.,3034,12,173,274189,197691,76498,27.9
Program Manager II..,7503,154,94,202219,136165,66054,32.66
Program Manager II..,3914,85,155,189634,155050,34584,18.24
Program Manager II..,11673,67,10,179083,148286,30797,17.2
Program Manager II..,19732,57,30,149228,107517,41711,27.95
Program Manager II..Technical,19832,31,29,168783,115043,53740,31.84
Program Manager II..Technical,22013,99,13,230273,140034,90239,39.19
Program Manager II..Technical,18222,115,37,261896,230169,31727,12.11
Program Manager II..Technical,18764,121,35,192799,155829,36970,19.18
Program Manager..,12398,57,62,106684,76767,29917,28.04
Program Manager..,22865,67,7,111591,105427,6164,5.52
Program Manager..,12162,57,45,84724,60143,24581,29.01
Program Manager..,10709,4,72,132947,116926,16021,12.05
Program Manager..,9322,57,68,99284,71278,28006,28.21
Program Manager..Technical,18635,31,35,159007,126196,32811,20.63
Program Manager..Technical,16543,61,46,158068,110273,47795,30.24
Program Manager..Technical,14652,31,48,116053,94590,21463,18.49
Program Manager..Technical,9198,61,81,129858,109441,20417,15.72
Program Manager..Technical,19197,128,32,108623,95153,13470,12.4
Program Manager.Associate.,9276,86,65,72929,55000,17929,24.58
Program Manager.Principal.Technical,4907,31,131,443054,226020,217034,48.99
Program Manager.Senior Lead.,3960,35,154,259048,178177,80871,31.22
Program Manager.Senior Lead.,5612,27,119,215593,142788,72805,33.77
Program Manager.Senior.,9848,125,11,198049,140603,57446,29.01
Program Manager.Senior.Technical,8433,31,86,195954,141528,54426,27.77
Program Manager.Senior.Technical,4979,31,15,286600,146131,140469,49.01
Program Manager.Senior.Technical,7083,68,97,224635,172350,52285,23.28
Program Manager.Senior.Technical,10460,80,73,259764,148300,111464,42.91
Program Manager.Senior.Technical,16500,121,47,290572,134218,156354,53.81
Program Manager.Senior.Technical,8026,56,90,313460,182272,131188,41.85
Program Manager.Senior.Technical,17301,63,41,226006,142813,83193,36.81
Program Manager.Senior.Technical,22220,99,11,279207,143441,135766,48.63
Program Manager.Senior.Technical,14824,31,59,203980,158462,45518,22.31
Program Manager.Senior.Technical,22957,111,7,263636,208728,54908,20.83
Q/A Engineer II..,21441,4,17,103008,91846,11162,10.84
Q/A Engineer II..,17636,76,39,103601,89627,13974,13.49
Q/A Engineer II..,14653,63,51,93798,69887,23911,25.49
Q/A Engineer II..,20605,76,23,109930,85577,24353,22.15
Q/A Engineer II..,21642,76,15,134162,115875,18287,13.63
Q/A Engineer II..,17693,76,39,95963,76721,19242,20.05
Q/A Engineer II..,17937,76,38,88630,79328,9302,10.5
Q/A Engineer II..,19560,76,31,86609,72146,14463,16.7
Q/A Engineer II..,22380,76,10,89853,82998,6855,7.63
Q/A Engineer II..,22217,76,11,114591,100542,14049,12.26
Q/A Engineer..,21854,76,13,77795,59946,17849,22.94
Q/A Engineer..,22009,4,13,73121,63951,9170,12.54
Q/A Engineer..,21666,76,15,73236,50868,22368,30.54
Q/A Engineer..,22437,76,10,62087,58372,3715,5.98
Q/A Engineer..,22531,76,10,62087,58807,3280,5.28
Q/A Engineer.Principal.,16709,42,45,345941,191794,154147,44.56
Q/A Engineer.Principal.,18462,42,36,400848,341834,59014,14.72
Q/A Engineer.Senior II Lead.,9826,76,77,178437,103991,74446,41.72
Q/A Engineer.Senior II Lead.,5096,76,126,181202,124879,56323,31.08
Q/A Engineer.Senior II Lead.,21686,76,15,261951,174077,87874,33.55
Q/A Engineer.Senior II.,11440,76,68,167193,126012,41181,24.63
Q/A Engineer.Senior II.,9942,76,76,207623,163292,44331,21.35
Q/A Engineer.Senior II.,11623,76,67,179623,112747,66876,37.23
Q/A Engineer.Senior II.,11947,76,65,212997,142761,70236,32.98
Q/A Engineer.Senior II.,10343,76,74,174189,117636,56553,32.47
Q/A Engineer.Senior II.,11538,76,67,164302,123097,41205,25.08
Q/A Engineer.Senior II.,11045,76,70,183775,117486,66289,36.07
Q/A Engineer.Senior II.,8894,76,84,203711,169595,34116,16.75
Q/A Engineer.Senior II.,5713,76,118,205742,159400,46342,22.52
Q/A Engineer.Senior II.,15827,76,40,203731,120787,82944,40.71
Q/A Engineer.Senior II.,10897,76,71,184600,151029,33571,18.19
Q/A Engineer.Senior II.,7506,76,94,201071,154380,46691,23.22
Q/A Engineer.Senior II.,14169,76,62,224091,137557,86534,38.62
Q/A Engineer.Senior II.,15457,42,54,250249,155664,94585,37.8
Q/A Engineer.Senior.,20210,42,25,216288,128241,88047,40.71
Q/A Engineer.Senior.,19156,76,33,126072,101298,24774,19.65
Q/A Engineer.Senior.,18999,76,34,121428,85111,36317,29.91
Q/A Engineer.Senior.,20741,76,14,164761,113420,51341,31.16
Q/A Engineer.Senior.,11681,76,47,128369,108654,19715,15.36
Q/A Engineer.Senior.,9847,76,77,132061,95894,36167,27.39
Q/A Engineer.Senior.,11584,76,47,125306,106244,19062,15.21
Q/A Engineer.Senior.,14996,76,57,144295,106512,37783,26.18
Q/A Engineer.Senior.,14943,76,49,123148,86228,36920,29.98
Q/A Engineer.Senior.,14628,63,60,141451,102834,38617,27.3
Q/A Engineer.Senior.,11671,63,66,141592,111970,29622,20.92
Q/A Engineer.Senior.,20359,42,25,196627,117991,78636,39.99
Q/A Engineer.Senior.,18545,76,36,80111,79911,200,0.25
Q/A Engineer.Senior.,22846,47,7,202333,124701,77632,38.37
Q/A Engineer.Senior.,17152,76,42,134657,86868,47789,35.49
Q/A Engineer.Senior.,21133,47,19,175612,117830,57782,32.9
Recruiter II..,17781,133,10,104133,93538,10595,10.17
Recruiter II..,8285,133,63,133034,117095,15939,11.98
Recruiter II..,9915,133,35,103413,92783,10630,10.28
Recruiter.Senior Lead.,17417,133,40,209262,155920,53342,25.49
Recruiter.Senior.,4830,133,35,147241,109019,38222,25.96
Recruiter.Senior.,12124,133,35,161672,130127,31545,19.51
Recruiter.Senior.,17187,133,41,169465,135145,34320,20.25
Relationship Manager II..,20614,141,23,252196,186929,65267,25.88
Relationship Manager II..,8997,92,83,261735,143259,118476,45.27
Relationship Manager II..,18584,138,36,244715,144192,100523,41.08
Relationship Manager II..,10839,92,71,288103,215775,72328,25.1
